Incident energy;
Incident energy;
Incident energy;?(E)
1619720.0;0.0
1700000.0;4.07986E-10
1750000.0;6.62087E-10
1800000.0;9.16189E-10
1900000.0;1.424393E-9
2000000.0;1.932596E-9
2053900.0;4.651764E-5
2053910.0;4.652627E-5
2053916.0;4.653144E-5
2053917.0;4.653231E-5
2078428.0;6.76853E-5
2102938.0;8.883743E-5
2151959.0;1.311426E-4
2250000.0;2.157519E-4
2375000.0;3.23627E-4
2500000.0;4.31502E-4
2668520.0;5.769347E-4
2709955.0;6.126931E-4
2751390.0;6.484516E-4
2834260.0;7.199684E-4
3000000.0;8.63002E-4
3027000.0;0.001291191
3027017.0;0.001291461
3027020.0;0.001291508
3076310.0;0.002073191
3125600.0;0.002854875
3125630.0;0.00285535
3125635.0;0.00285543
3125636.0;0.002855445
3181688.0;0.003744366
3237740.0;0.004633287
3237743.0;0.004633334
3283830.0;0.005364222
3283833.0;0.005364269
3306800.0;0.0057285
3306827.0;0.005728928
3306830.0;0.005728975
3371410.0;0.00675314
3371414.0;0.006753204
3435707.0;0.007772817
3500000.0;0.008792431
3647300.0;0.01112844
3786800.0;0.01334075
3926300.0;0.01555306
4000000.0;0.01672186
4250000.0;0.02781338
4500000.0;0.0389049
4750000.0;0.04999641
5000000.0;0.06108793
5500000.0;0.09412482
5750000.0;0.1106433
6000000.0;0.1271617
6500000.0;0.1545435
7000000.0;0.1819253
7500000.0;0.2021364
8000000.0;0.2223475
8188520.0;0.2274804
8305710.0;0.2306712
8500000.0;0.2359612
9000000.0;0.2495748
9500000.0;0.2590487
9731220.0;0.2634297
1.0E7;0.2685225
1.00342E7;0.2690487
1.003423E7;0.2690492
1.05E7;0.2762157
1.05791E7;0.2774328
1.057914E7;0.2774334
1.1E7;0.2839089
1.15E7;0.2906437
1.2E7;0.2973784
1.25E7;0.3013169
1.3E7;0.3052553
1.348E7;0.2994637
1.34865E7;0.2993852
1.35E7;0.2992224
1.4E7;0.2931894
1.45E7;0.2738463
1.5E7;0.2545032
1.55E7;0.2315062
1.6E7;0.2085092
1.65E7;0.1870456
1.7E7;0.165582
1.75E7;0.1488422
1.8E7;0.1321024
1.85E7;0.1201234
1.9E7;0.1081444
1.95E7;0.0997292
2.0E7;0.09131399
