Incident energy;
Incident energy;
Incident energy;?(E)
3.777284;486.593
3.786012;557.862
3.794739;632.0612
3.812195;775.8355
3.820923;837.3023
3.82965;886.2727
3.839825;922.9269
3.85;934.0572
3.860175;918.5204
3.87035;878.0065
3.884104;791.2677
3.897858;681.5706
3.911612;564.8833
3.925366;454.3988
3.9362;377.3528
3.947033;311.2451
3.957866;256.3166
3.963283;232.8137
3.968699;211.7471
3.974116;192.9214
3.979532;176.1456
3.984949;161.2143
3.990365;147.9395
4.001198;125.628
4.012031;107.9117
4.021781;95.01773
4.031531;84.37934
4.041281;75.52042
4.05103;68.0733
4.06078;61.7528
4.070529;56.34168
4.080279;51.66972
4.090028;47.60614
4.109528;40.90946
4.129027;35.65231
4.148526;31.44319
4.168025;28.01732
4.187525;25.18936
4.207024;22.82639
4.226524;20.82977
4.246023;19.12529
4.265523;17.65577
4.285022;16.37766
4.324021;14.26962
4.36302;12.61313
4.402019;11.28573
4.441018;10.20351
4.480016;9.30907
4.545014;8.125611
4.610012;7.205224
4.67501;6.471739
4.740008;5.877388
4.805006;5.386951
4.870004;4.975879
4.935002;4.626994
5.0;4.329145
5.089579;3.981552
5.179157;3.68931
5.268735;3.442679
5.358313;3.23275
5.537469;2.898177
5.716625;2.654891
5.895782;2.469639
6.074938;2.339006
6.254094;2.256345
6.43325;2.216883
6.538188;2.227373
6.643125;2.282675
6.853;2.644886
6.907863;2.616794
6.962725;2.538729
7.017588;2.486893
7.07245;2.479857
7.2029;2.565561
7.33335;2.732351
7.4638;2.972448
7.59425;3.300577
7.7247;3.741628
7.789925;4.019134
7.85515;4.349449
7.920375;4.74246
7.9856;5.212748
8.050825;5.780672
8.11605;6.474035
8.173122;7.213443
8.230194;8.112246
8.287266;9.216441
8.344338;10.59697
8.40141;12.3627
8.429946;13.43646
8.458482;14.67088
8.487018;16.09944
8.515554;17.76517
8.54409;19.72386
8.572625;22.04873
8.601161;24.8384
8.629697;28.22876
8.658233;32.41322
8.686769;37.67478
8.701037;40.83502
8.715305;44.44047
8.729573;48.58344
8.743841;53.38269
8.758109;58.99359
8.772377;65.62282
8.786645;73.54974
8.800913;83.15681
8.812124;92.22155
8.823334;102.9842
8.834545;115.8825
8.845755;131.4676
8.856966;150.4347
8.868176;173.6283
8.879387;202.0615
8.890597;236.8859
8.900789;275.1594
8.91098;320.7315
8.921172;374.5316
8.931363;437.3166
8.941555;509.5916
8.951746;591.424
8.961938;682.3637
8.972129;781.2586
8.98334;896.9799
8.99455;1016.45
9.016971;1247.457
9.030229;1364.399
9.043486;1455.281
9.056743;1512.378
9.07;1530.619
9.0802;1517.054
9.089236;1485.548
9.098271;1437.119
9.116341;1298.049
9.134412;1121.017
9.152482;929.6546
9.173323;717.9196
9.183743;622.3305
9.194163;535.7993
9.204584;459.0273
9.215004;392.1131
9.225424;334.6525
9.235844;285.9179
9.245396;248.1219
9.254948;216.1081
9.2645;189.0999
9.274052;166.3595
9.283604;147.2132
9.293156;131.0651
